time_period,rainfall,mean_temperature,Disease_case,location
201803,153.6060222,28.37187885,114,moz
201804,121.0186379,24.43285276,101,moz
201805,64.01123695,23.03881639,62,moz
201806,50.6295409,21.21167599,72,moz
201807,32.49670509,19.56063017,63,moz
201808,44.89631274,22.1096534,62,moz
201809,29.1412717,20.13365557,56,moz
201810,113.6766492,25.04511102,67,moz
201811,108.7178346,26.55071541,49,moz
201812,170.4589065,29.8729784,54,moz
201901,175.5138216,28.51729102,83,moz
201902,151.9982785,30.77949203,103,moz
201903,163.3588521,27.51015782,66,moz
201904,97.92336307,25.59612641,87,moz
201905,72.72207872,21.98837636,55,moz
201906,22.05240201,20.56411937,68,moz
201907,17.21585683,19.23167341,50,moz
201908,33.43465441,21.76213187,50,moz
201909,104.4635287,22.98241051,37,moz
201910,107.9594193,25.19196311,43,moz
201911,161.65223,29.1872177,47,moz
201912,175.3324773,30.74851147,42,moz
202001,174.6417693,29.12426841,62,moz
202002,130.848036,30.95454714,70,moz
202003,157.4609077,28.09942032,61,moz
202004,130.7527139,23.79194382,65,moz
202005,94.4588983,23.4540492,47,moz
202006,55.92355185,20.94261551,41,moz
202007,0,20.22264896,48,moz
202008,48.28982567,18.22965946,32,moz
202009,33.7636649,22.97622101,34,moz
202010,99.12654074,25.01836786,30,moz
202011,134.2560441,27.43177333,37,moz
202012,168.9263108,29.97016934,36,moz
202101,134.3383724,30.30127067,41,moz
202102,182.6120935,27.50843556,52,moz
202103,123.976287,28.64568588,49,moz
202104,131.8081439,24.19725466,39,moz
202105,74.49109795,23.78671745,39,moz
202106,45.09485656,22.23535933,46,moz
202107,39.75689667,20.17752307,22,moz
202108,35.14363951,20.38109,23,moz
202109,66.81810695,22.32904959,27,moz
202110,109.6744031,23.4409934,25,moz
202111,111.6588519,26.557528,24,moz
202112,170.0264425,29.9255266,22,moz
202201,151.3880848,28.44790562,18,moz
202202,168.5711207,29.75494952,53,moz
202203,129.3818002,28.7841963,48,moz
202204,106.2440201,25.16996913,51,moz
202205,64.07269245,22.52368507,50,moz
202206,36.67895434,21.2879919,41,moz
202207,61.90599145,20.92070985,22,moz
202208,52.67297223,20.39329737,25,moz
202209,41.26779953,22.02112382,31,moz
202210,100.1300316,26.02900367,27,moz
202211,84.88904178,26.61128618,26,moz
202212,166.0034617,30.19688117,31,moz
202301,179.8671194,31.98039464,37,moz
202302,154.1287443,29.1554054,37,moz
202303,160.6167775,26.787769,28,moz
202304,68.39340133,24.86748774,35,moz
202305,54.48619211,24.51993575,34,moz
202306,49.23648747,22.3605339,25,moz
202307,17.02162562,19.56893495,22,moz
202308,26.81454469,22.98923432,29,moz
202309,77.36606524,21.5497214,31,moz
202310,109.6841941,24.34365205,25,moz
202311,146.3881892,27.25268202,28,moz
202312,161.9130547,30.18351248,25,moz
202401,206.2393842,30.54376142,29,moz
202402,163.2562898,31.35440531,43,moz
202403,138.5946463,27.4248783,35,moz
202404,120.7855161,23.79324862,28,moz
202405,70.9879428,21.35289486,32,moz
202406,67.53546244,20.21437437,44,moz
202407,53.86697154,20.93577674,28,moz
202408,35.46819543,19.54221118,15,moz
202409,72.72897898,22.47915579,19,moz
202410,105.2364224,25.61387447,22,moz
202411,130.8537566,26.65647021,30,moz
202412,152.8412138,30.48033846,33,moz
