"Period","Temp","Precip","Precip_lag1","Precip_lag2"
202501,29.2434803531673,182.998335126015,152.841213823416,130.853756560575
202502,29.0797870072989,158.235665173229,182.998335126015,152.841213823416
202503,27.4978323542641,161.07457473094,158.235665173229,182.998335126015
202504,23.8107119581832,119.321511360034,161.07457473094,158.235665173229
202505,21.4904131113406,76.8610136365818,119.321511360034,161.07457473094
202506,20.8086102047624,60.8158600732249,76.8610136365818,119.321511360034
202507,18.6510922594779,5.83873631366667,60.8158600732249,76.8610136365818
202508,19.8555863598573,52.2522086583593,5.83873631366667,60.8158600732249
202509,25.141093869132,75.208262566965,52.2522086583593,5.83873631366667
202510,25.8539760585447,97.5515709427249,75.208262566965,52.2522086583593
202511,25.4307622889869,146.888668237053,97.5515709427249,75.208262566965
202512,28.1130217539764,182.876078306206,146.888668237053,97.5515709427249
